entry_time,exit_time,direction,entry,exit,sl,target,exit_reason,pnl_r,pnl_dollars,equity_after
1754387100,1754388000,long,114553.0,114681.241,114424.759,114809.48199999999,SL,1.0,85.43,8628.78
1754389200,1754389500,long,114605.0,114847.541,114483.7295,114847.541,Target,2.0,172.58,8801.36
1754413200,1754417700,long,113163.0,113435.4735,112890.5265,113707.94699999999,SL,1.0,88.01,8889.37
1754420400,1754426700,long,113549.0,113549.0,113221.361,114204.27799999999,SL,0.0,0.0,8889.37
1754428200,1754430300,long,113749.5,113569.187,113569.187,114110.12599999999,SL,-1.0,-88.89,8800.48
1754446500,1754451900,short,113586.0,113586.0,113794.36875,113169.26250000001,SL,0.0,0.0,8800.48
1754453100,1754456400,short,113481.0,113481.0,113609.77649999999,113223.44700000001,SL,0.0,0.0,8800.48
1754464200,1754469000,long,114110.0,113919.012,113919.012,114491.976,SL,-1.0,-88.0,8712.48
1754469600,1754470200,short,113911.5,113911.5,114073.00799999999,113588.48400000003,SL,0.0,0.0,8712.48
1754487300,1754487600,short,113804.0,113991.46724999999,113991.46724999999,113429.06550000003,SL,-1.0,-87.12,8625.35
1754491200,1754492100,long,114200.0,114481.98749999999,113918.01250000001,114763.97499999998,SL,1.0,86.25,8711.6
1754496000,1754497200,long,115306.0,115040.95075,115040.95075,115836.0985,SL,-1.0,-87.12,8624.49
1754504100,1754504700,long,115645.0,115420.26100000001,115420.26100000001,116094.47799999997,SL,-1.0,-86.24,8538.24
1754511900,1754512200,short,115164.0,115070.40000000001,115257.59999999999,114976.80000000002,SL,1.0,85.38,8623.63
1754512500,1754514600,short,115142.0,115142.0,115247.09474999999,114931.81050000002,SL,0.0,0.0,8623.63
1754521500,1754522400,short,115057.5,114977.96025,115137.03975,114898.42050000001,SL,1.0,86.24,8709.86
1754525100,1754529300,short,114931.0,114931.0,115040.49149999999,114712.01700000002,SL,0.0,0.0,8709.86
1754534700,1754535000,short,114631.5,114446.12025,114816.87975,114260.74050000001,SL,1.0,87.1,8796.96
1754536200,1754539500,short,114436.5,114598.77075,114598.77075,114111.95850000001,SL,-1.0,-87.97,8708.99
1754550600,1754555100,long,114740.0,115128.60299999997,114545.69850000001,115128.60299999997,Target,2.0,174.18,8883.17
1754570400,1754571000,short,116264.5,116264.5,116479.21049999999,115835.07900000003,SL,0.0,0.0,8883.17
1754572500,1754573100,short,116211.5,116386.16399999999,116386.16399999999,115862.17200000002,SL,-1.0,-88.83,8794.34
1754580600,1754581200,long,116545.5,116545.5,116386.27775000001,116863.94449999998,SL,0.0,0.0,8794.34
1754581800,1754584800,long,116711.0,116455.24325,116455.24325,117222.5135,SL,-1.0,-87.94,8706.4
1754595900,1754596200,long,116862.0,117402.65,116591.675,117402.65,Target,2.0,174.13,8880.52
1754596500,1754602800,long,117413.0,117051.445,117051.445,118136.10999999999,SL,-1.0,-88.81,8791.72
1754631000,1754633100,short,116606.0,116377.33800000002,116720.33099999999,116377.33800000002,Target,2.0,175.83,8967.55
1754640900,1754641500,long,116830.0,116692.12475,116692.12475,117105.7505,SL,-1.0,-89.68,8877.88
1754642100,1754646600,short,116630.5,116630.5,116819.88075,116251.7385,SL,0.0,0.0,8877.88
1754667300,1754668800,short,116242.0,116242.0,116573.25749999999,115579.48500000002,SL,0.0,0.0,8877.88
1754674800,1754676000,long,116464.5,116668.1595,116260.8405,116871.81899999999,SL,1.0,88.78,8966.66
1754676300,1754678100,long,116678.0,116459.74100000001,116459.74100000001,117114.51799999998,SL,-1.0,-89.67,8876.99
1754691300,1754696100,long,116868.5,116654.6435,116654.6435,117296.21299999999,SL,-1.0,-88.77,8788.22
1754696400,1754703600,short,116691.5,116567.12125000001,116815.87874999999,116442.74250000002,SL,1.0,87.88,8876.1
